delivery_id,region,distance_km,hour_of_day,day_of_week,weather,traffic_index,shipment_volume,weight_kg,transportation_cost,actual_delivery_minutes,promised_window_minutes,delay_flag
1,West,10.02,8,0,Clear,0.571,2,3.61,11.35,52.7,60,0
2,South,8.9,19,4,Clear,0.523,3,6.19,9.46,64.1,60,1
3,Central,4.38,12,6,Rain,0.218,5,7.55,6.3,31.1,45,0
4,West,6.13,14,5,Clear,0.455,4,7.26,7.07,39.0,45,0
5,North,1.65,9,4,Clear,0.728,3,5.03,3.65,11.6,30,0
6,Central,3.91,15,0,Clear,0.405,8,9.33,7.91,38.5,30,1
7,West,8.11,9,6,Snow,0.641,3,4.3,12.19,64.6,60,1
8,West,10.06,10,3,Clear,0.35,3,7.28,11.03,51.4,60,0
9,North,7.97,17,2,Clear,0.551,6,11.72,11.74,59.1,45,1
10,East,5.49,7,6,Snow,0.258,2,2.54,6.43,40.1,45,0
11,South,9.4,13,5,Clear,0.204,4,4.74,10.58,46.3,60,0
12,Central,4.28,15,5,Clear,0.514,5,8.78,6.44,24.4,45,0
13,East,6.31,8,1,Fog,0.434,5,12.12,10.09,49.2,45,1
14,West,7.62,11,6,Clear,0.374,4,6.9,8.7,40.7,45,0
15,South,7.42,11,3,Clear,0.281,2,4.65,8.85,44.5,45,0
16,North,6.91,16,3,Clear,0.279,4,7.76,7.28,45.5,45,1
17,East,6.92,20,5,Clear,0.403,4,7.95,8.05,44.7,45,0
18,North,5.67,18,4,Rain,0.469,6,7.59,10.52,42.3,45,0
19,West,10.19,9,1,Clear,0.618,3,6.53,11.57,62.4,60,1
20,East,4.64,7,2,Clear,0.465,3,5.0,6.29,30.0,45,0
21,West,8.85,7,2,Clear,0.452,5,10.73,11.01,52.9,60,0
22,South,9.54,15,6,Clear,0.444,5,7.37,11.08,58.1,60,0
23,Central,0.8,9,5,Clear,0.78,3,5.61,2.69,8.0,30,0
24,Central,1.08,10,2,Clear,0.313,2,3.88,2.05,17.7,30,0
25,West,5.99,18,5,Snow,0.56,3,5.22,9.48,49.7,45,1
26,North,1.6,19,5,Clear,0.533,2,3.92,2.51,15.3,30,0
27,East,3.78,18,2,Clear,0.738,2,3.39,4.96,27.7,30,0
28,North,8.07,10,2,Clear,0.278,3,4.62,8.81,43.4,60,0
29,North,5.9,15,6,Clear,0.389,3,7.33,7.27,33.9,45,0
30,West,9.52,15,3,Clear,0.556,2,4.44,8.55,42.5,60,0
31,West,11.39,9,1,Clear,0.636,6,8.97,14.64,72.6,60,1
32,Central,6.59,14,5,Clear,0.44,7,14.19,8.8,47.6,45,1
33,South,7.65,14,4,Snow,0.398,4,6.01,11.24,56.9,45,1
34,South,10.64,12,3,Snow,0.42,4,5.3,13.93,78.5,60,1
35,East,5.39,17,5,Clear,0.606,1,2.21,6.27,33.8,45,0
36,North,4.74,16,6,Clear,0.395,5,5.59,6.17,27.0,45,0
37,North,5.25,14,2,Clear,0.416,3,6.51,7.33,29.1,45,0
38,East,2.09,17,2,Clear,0.578,3,5.1,3.75,14.6,30,0
39,North,4.63,17,1,Clear,0.475,5,8.58,8.08,36.0,45,0
40,West,8.35,14,4,Snow,0.473,4,7.86,11.95,66.4,60,1
